location a0 a1 stdiv
1 -0.00245396 -2.87315 0 1.40715e-05
2 -0.00177572 -4.2494 0 5.42523e-06
3 -0.000985191 -1.29726 0 3.98396e-06
4 -0.000486076 -0.330103 0 1.1845e-06
5 -0.000320291 -0.883386 0 2.75176e-06
6 -0.000293635 -0.381094 0 2.37321e-06
7 -0.000190801 0.17027 0 9.67736e-07
8 -0.000117719 -0.00719293 1229.53 6.76087e-07
9 -0.000117339 0.110591 886.085 5.94482e-07
10 -8.86579e-05 0.301241 -291.07 2.41704e-07
11 -5.74345e-05 0.338197 -695.606 1.45215e-07
12 -5.82358e-05 0.408317 -861.51 1.1559e-07
13 -4.94344e-05 0.381244 -960.435 6.47e-08
14 -3.02152e-05 0.280838 -865.358 2.52082e-08
15 -2.65711e-05 0.29407 -957.117 3.5918e-09
16 -2.50677e-05 0.280889 -904.885 2.44534e-08
17 -1.58222e-05 0.183656 -628.715 5.34637e-10
18 -1.08935e-05 0.145198 -546.105 1.37755e-08
19 -1.03153e-05 0.140721 -520.053 3.70312e-08
20 -8.25876e-06 0.115841 -443.771 2.05924e-08
21 -4.90038e-06 0.0711789 -280.268 3.48844e-08
22 -3.9285e-06 0.0587293 -230.253 1.09909e-08
23 -4.2727e-06 0.0641328 -251.159 1.50311e-08
24 -3.50641e-06 0.0526348 -206.39 8.91288e-09
25 -1.74946e-06 0.0269096 -108.56 9.41046e-09
26 -1.40531e-07 0.00135704 -2.94647 9.50222e-09
27 -nan -nan -nan -nan
28 -nan -nan -nan -nan
29 -nan -nan -nan -nan
30 -nan -nan -nan -nan
