location a0 a1 a2 stdiv
1 -0.15364 -92.7749 273497 0.000355153
2 -0.0281875 -33.6422 125072 0.000107337
3 0.0529477 101.215 -461787 0.000448357
4 -0.0209551 -44.0869 234532 0.00020248
5 -0.0163843 -23.7939 175447 0.000117593
6 0.0279256 -1.28852 -150100 0.000139749
7 -0.0122643 17.7855 1622.1 2.47031e-05
8 -0.0103706 26.8038 -36680.1 5.35819e-06
9 0.0169347 -54.8121 88332 1.63199e-06
10 -0.00713043 25.9747 -43344.5 3.0272e-06
11 -0.00588674 22.4981 -33913.4 1.44388e-05
12 0.00950049 -37.7057 54747.8 4.11122e-05
13 -0.00390341 16.9853 -28155.9 2.42205e-05
14 -0.00309746 14.2386 -22469.1 3.3819e-05
15 0.00500514 -27.8141 56685.4 5.3823e-05
16 -0.00210713 13.7117 -32957.6 2.0169e-05
17 -0.00177253 12.463 -30998.3 1.91471e-05
18 0.00299468 -22.9989 61516.9 2.92114e-05
19 -0.00126299 10.2852 -28833.7 1.07744e-05
20 -0.00102371 8.49782 -23648.6 9.97155e-06
21 0.00163015 -14.2845 41348.9 1.44915e-05
22 -0.000650567 5.97489 -18002.1 4.7869e-06
23 -0.000522548 4.87487 -14758.3 4.1403e-06
24 0.000838183 -8.17288 25669.5 5.78823e-06
25 -0.000339267 3.44923 -11133 1.99129e-06
26 -nan -nan -nan -nan
