location a0 a1 stdiv
1 0.0433933 -70.7496 0 0.000492818
2 -0.00634535 8.37171 0 0.000118479
3 0.00192035 -4.34635 0 0.000116428
4 -0.00191274 7.16159 0 7.11476e-05
5 -0.00305266 9.5138 0 0.000150818
6 0.00318037 -10.8128 0 0.000181722
7 -0.000605422 1.04634 0 5.94125e-05
8 7.26657e-05 -0.298291 0 2.74912e-06
9 -5.12436e-06 0.0973411 0 1.51134e-05
10 -6.81723e-05 0.374524 0 8.46858e-06
11 3.72479e-05 0.060977 0 3.51924e-06
12 -9.78815e-05 0.426392 0 5.25419e-06
13 4.71862e-05 -0.26735 0 4.00241e-06
14 4.428e-05 -0.303013 0 3.34928e-06
15 1.9312e-05 -0.116142 0 3.04354e-06
16 -3.69664e-05 0.244945 0 3.32642e-06
17 3.88741e-06 -0.0208816 0 9.85773e-07
18 -3.31958e-05 0.225934 0 2.14535e-06
19 2.62153e-05 -0.182371 0 1.98352e-06
20 1.0006e-05 -0.0751801 0 1.09514e-06
21 3.94953e-07 -0.00187847 0 6.85807e-08
22 -7.3375e-06 0.0539554 0 7.06577e-07
23 -6.13136e-06 0.0456382 0 5.77389e-07
24 -5.92189e-07 0.00438621 0 6.14062e-08
25 7.55761e-07 0.00421346 0 1.08518e-06
26 -nan -nan 0 -nan
